theHunter Primal,21.48
theHunter,2.49
the static speaks my name,0.25
sZone-Online,0.98
rymdkapsel,1.1
resident evil 4 / biohazard 4,6.86
realMyst Masterpiece Edition,10.25
realMyst,0.5
rFactor 2,1.8
rFactor,2.2
planetarian ~the reverie of a little planet~,0.1
oO,0.2
liteCam Game 100 FPS Game Capture,68.0
inMomentum,0.25
ibb & obb,2.0
iO,1.0
iBomber Defense Pacific,4.47
iBomber Defense,5.55
iBomber Attack,0.4
how do you Do It?,0.27
hocus,0.1
fault milestone two sideabove,1.6
fault milestone one,5.4
eden*,2.85
bit Dungeon II,5.25
aerofly RC 7,0.2
Zuma's Revenge! - Adventure,0.95
Zuma's Revenge,45.5
Zuma Deluxe,0.5
Zotrix,0.5
Zoombinis,3.6
Zombies Monsters Robots,5.92
Zombie Zoeds,2.25
Zombie Tycoon 2 Brainhov's Revenge,2.8
Zombie Shooter 2,3.57
Zombie Panic Source,28.38
Zombie Grinder,7.8
Zombie Driver HD,1.3
Zombie Driver,1.64
Zombie Army Trilogy,4.4
Ziggurat,1.85
Zero Gear,1.7
Zeno Clash 2,4.8
Zeno Clash,1.68
Zen Bound 2,0.65
Zafehouse Diaries,3.6
Zack Zero,7.03
ZOMBI,1.9
Z,3.0
Yury,1.13
Ys VI The Ark of Napishtim,5.1
Ys The Oath in Felghana,7.47
Ys Origin,7.84
Ys I,2.77
Your Doodles Are Bugged!,0.1
You Need A Budget 4 (YNAB),14.06
You Must Build A Boat,32.0
You Have to Win the Game,0.88
Yosumin!,0.4
Yet Another Zombie Defense,1.68
Yesterday,5.6
Year Walk,1.8
YOU DON'T KNOW JACK Vol. 2,0.2
YOU DON'T KNOW JACK Vol. 1 XL,0.65
YOU DON'T KNOW JACK,2.3
Xpand Rally Xtreme,4.1
Xeodrifter,2.9
Xenonauts,14.62
Xam,0.45
XCOM Enemy Unknown,47.8
X3 Terran Conflict,8.57
X3 Reunion,24.6
X3 Albion Prelude,40.35
X2 The Threat,28.17
X-note,4.4
X-Tension,0.7
X-Plane 10 Global - 64 Bit,268.02
X-COM UFO Defense,10.67
X-COM Terror from the Deep,14.82
X-COM Interceptor,4.65
X-COM Enforcer,0.6
X-COM Apocalypse,5.08
X-Blades,2.66
X Rebirth,40.0
X Beyond the Frontier,0.93
Written in the Sky,0.8
Wrath of Athena,0.4
Worms Ultimate Mayhem,2.07
Worms Revolution,6.98
Worms Reloaded,7.43
Worms Crazy Golf,0.95
Worms Clan Wars,3.57
Worms Armageddon,3.96
Worms,0.5
Worldwide Soccer Manager 2009,295.0
World of Zoo,1.2
World of Soccer online,0.39
World of Mixed Martial Arts 3,11.4
World of Guns Gun Disassembly,4.81
World of Goo,2.25
World in Conflict Soviet Assault,5.53
World in Conflict,0.55
World War II Panzer Claws,0.25
World Basketball Manager 2010,0.2
Woody Two-Legs Attack of the Zombie Pirates,0.5
Woodle Tree Adventures,2.12
Wolfenstein The Old Blood German Edition,6.75
Wolfenstein The Old Blood,7.21
Wolfenstein The New Order German Edition,25.45
Wolfenstein The New Order,19.2
Wolfenstein 3D Spear of Destiny,0.3
Wolfenstein 3D,0.27
Wolfenstein,26.0
Wizorb,1.18
Wizardry Online,1.3
Wizardry 8,1.4
Wizardry 7 Crusaders of the Dark Savant,23.0
Without Within,0.2
Winning Post 8 2015,127.0
Wings! Remastered Edition,2.2
Wings of Prey,38.92
Windward,16.57
Windosill,0.98
Windborne,5.1
Wind of Luck Arena,6.64
Wildlife Park 3,4.0
Wildlife Park 2 - Marine World,0.1
Wildlife Park 2 - Dino World,1.8
Wildlife Park 2,15.3
Wild Warfare,2.86
Wickland,1.27
Why So Evil 2 Dystopia,5.77
Why So Evil,12.3
Who's That Flying?!,0.2
White Noise Online,4.5
Westward 3,0.2
Westward,4.2
Westerado Double Barreled,1.9
Weird Worlds Return to Infinite Space,1.1
Weather Lord The Successor's Path,3.8
Weapons Genius,1.25
Way of the Samurai 4,3.0
Waves,0.2
Waveform,2.85
Watchmen The End Is Nigh Part 2,2.8
Watchmen The End Is Nigh,0.4
Watch_Dogs,17.72
Wasteland Angel,0.33
Wasteland 2 Director's Cut,0.97
Wasteland 2,22.36
Wasteland 1 - The Original Classic,3.25
Warside,1.13
Warrior Kings Battles,23.0
Warmachine Tactics,9.3
Warlock 2 the Exiled,47.7
Warlock - Master of the Arcane,18.76
Warhammer Quest,1.65
Warhammer Online Age of Reckoning,3.0
Warhammer End Times - Vermintide,18.49
Warhammer 40000 Space Marine,15.98
Warhammer 40000 Regicide,1.85
Warhammer 40000 Kill Team,2.4
Warhammer 40000 Dawn of War II - Chaos Rising,28.72
Warhammer 40000 Dawn of War II  Retribution,72.23
Warhammer 40000 Dawn of War II,26.09
Warhammer 40000 Dawn of War - Game of the Year Edition,6.07
Warhammer 40000 Dawn of War  Winter Assault,4.35
Warhammer 40000 Dawn of War  Soulstorm,12.53
Warhammer 40000 Dawn of War  Dark Crusade,27.17
Warhammer 40000 Armageddon,10.1
Wargame Red Dragon,43.6
Wargame European Escalation,22.74
Wargame AirLand Battle,42.23
Warframe,63.86
Warface,12.62
Warehouse and Logistics Simulator,0.2
War the Game,6.5
War of the Vikings,6.0
War of the Roses Balance Beta,2.52
War of the Roses,16.56
War of the Human Tanks,2.1
War of Beach,0.25
War in a Box Paper Tanks,6.3
War for the Overworld,10.15
War Thunder,47.46
War Inc. Battlezone,3.65
Wanderlust Rebirth,3.76
Wallace & Gromit Ep 4 The Bogey Man,3.9
Wallace & Gromit Ep 3 Muzzled!,12.7
Wallace & Gromit Ep 2 The Last Resort,15.4
Wallace & Gromit Ep 1 Fright of the Bumblebees,2.48
Walkover,0.15
Waking Mars,4.14
WWE 2K15,28.92
WTFast Gamers Private Network (GPN),6.7
WRC Powerslide,4.8
WRC 5,3.25
WRC 4 FIA WORLD RALLY CHAMPIONSHIP,5.04
WORLD END ECONOMiCA episode.01,0.28
WARP,1.3
WARMODE,2.51
WAKFU,34.87
Voxelized,5.35
Vox,2.4
Volume,0.7
Volt,0.9
Volgarr the Viking,5.4
VoidExpanse,1.9
Void Destroyer,1.5
Voices from the Sea,0.87
Vlad the Impaler,4.5
Viscera Cleanup Detail Shadow Warrior,0.69
Viscera Cleanup Detail Santa's Rampage,4.56
Viscera Cleanup Detail,5.71
Virtual Villagers A New Home,4.3
Virtua Tennis 4,2.5
Viridi,3.03
Violett,0.4
Vintage Year,3.0
Vindictus,6.47
Villagers and Heroes,3.84
Viking Brothers,1.8
Viking Battle for Asgard,3.82
Vigil Blood Bitterness,0.1
Victory The Age of Racing,0.6
Victory Command,0.32
Victory At Sea,0.1
Victoria II,41.08
Victor Vran,51.75
Victim of Xen,3.25
Vessel,1.3
Vertiginous Golf,0.25
Vertical Drop Heroes HD,2.47
Verdun,10.13
Velvet Sundown,1.27
Velvet Assassin,1.75
VelocityUltra,1.3
Velocibox,0.9
Vanguard Princess,2.07
Vampire The Masquerade - Bloodlines,36.12
Valkyria Chronicles,9.89
Valiant Hearts The Great War / Soldats Inconnus  Mmoires de la Grande Guerre,4.76
Valdis Story Abyssal City,20.29
Vagante,4.5
VVVVVV,2.89
Urizen Shadows of the Cold,0.1
