007 Legends,0.7
0RBITALIS,0.4
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),4.0
10 Second Ninja,2.95
100% Orange Juice,8.7
1000 Amps,0.1
10000000,3.6
12 Labours of Hercules,4.96
12 Labours of Hercules II The Cretan Bull,4.29
12 Labours of Hercules III Girl Power,6.53
140,1.26
15 Days,0.5
16bit Trader,4.45
1701 A.D. Sunken Dragon,0.6
18 Wheels of Steel American Long Haul,5.8
1953 NATO vs Warsaw Pact,5.9
1Quest,2.7
3 Stars of Destiny,4.7
3089 -- Futuristic Action RPG,0.3
3D Mini Golf,1.0
3DMark,13.38
3DMark 11,3.0
3DMark Vantage,21.0
4 Elements,14.85
404Sight,0.53
500 Years Act 1,3.0
60 Seconds!,1.86
7 Days to Die,41.59
8BitBoy,3.4
8BitMMO,0.46
9 Clues 2 The Ward,5.1
9 Clues The Secret of Serpent Creek,2.8
9.03m,0.3
99 Levels To Hell,1.38
99 Spirits,3.9
A Bird Story,1.66
A Game of Thrones - Genesis,6.09
A Golden Wake,1.2
A New Beginning - Final Cut,7.27
A Story About My Uncle,3.4
A Valley Without Wind,1.12
A Valley Without Wind 2,0.3
A Virus Named TOM,1.96
A Walk in the Dark,1.25
A-Train 8,0.1
A.R.E.S.,2.89
A.R.E.S. Extinction Agenda EX,9.6
A.V.A - Alliance of Valiant Arms,4.04
ACE - Arena Cyber Evolution,0.58
ACE COMBAT ASSAULT HORIZON Enhanced Edition,3.52
AI War Fleet Command,3.5
AION Free-to-Play,6.67
AKIBA'S TRIP Undead & Undressed,12.0
APB Reloaded,66.94
APOX,0.4
AR-K,0.4
ARK Survival Evolved,86.03
AXYOS,4.4
AZMD! Scorepocalypse,1.1
AaAaAA!!! - A Reckless Disregard for Gravity,4.48
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,1.13
Abandoned Chestnut Lodge Asylum,5.7
Abducted,0.2
Aberoth,0.35
Absconding Zatwor,11.1
Absolute Drift,1.97
Abyss Odyssey,3.92
Abyss The Wraiths of Eden,6.8
Ace of Spades,7.34
Aces Wild Manic Brawling Action!,0.35
Achron,0.87
Act of Aggression,4.25
Action! - Gameplay Recording and Streaming,89.67
Actual Sunlight,1.3
AdVenture Capitalist,43.03
Adventure Chronicles The Search For Lost Treasure,0.7
Adventure Park,0.9
Adventure Time  Explore the Dungeon Because I DONT KNOW!,0.3
Adventurer Manager,21.0
Adventures of Bertram Fiddle Episode 1 A Dreadly Business,1.7
Adventures of Shuggy,1.55
Aeon Command,0.43
Aerena,2.2
Afterfall InSanity - Dirty Arena Edition,0.45
Afterfall InSanity Extended Edition,1.86
Afterlife Empire,0.2
Aftermath,5.1
Agarest Generations of War,15.69
Agarest Zero,10.6
Age of Chivalry,16.72
Age of Conan Rise of the Godslayer,4.6
Age of Conan Unchained - EU version,20.53
Age of Empires II HD Edition,34.29
Age of Empires III Complete Collection,17.13
Age of Empires Online,83.2
Age of Mythology Extended Edition,13.01
Age of Wonders,16.4
Age of Wonders 2,31.6
Age of Wonders III,35.04
Age of Wonders Shadow Magic,17.9
Aggression Europe Under Fire,0.6
Agricultural Simulator 2011 Extended Edition,0.1
Agricultural Simulator 2013 Steam Edition,23.2
Aion,10.35
Aion Collectors Edition,22.0
Air Brawl,2.45
